id,name,facebook_likes
3554,Kelli Williams,446
2358,Johnny Flynn,102
2715,Boman Irani,154
2630,Eric Elmosnino,29
489,Harold Ramis,11000
3158,Ron Moody,275
3830,Andrew Lawrence,563
1139,Vernon Wells,745
3771,Hayley Kiyoko,542
3701,Vanity,841
2592,Austin O'Brien,211
563,Shiri Appleby,855
2671,Herbert Lom,278
2102,Martin Scorsese,17000
2115,Craig Bierko,380
2116,Dawn French,229
2104,Tom Virtue,358
2105,Callum Blue,738
2119,Bob Saget,799
2122,Jaymes Butler,2000
2087,Jacki Weaver,401
2108,Diego Ramos,10
2090,Sarita Choudhury,257
2112,Pter Fancsikai,2
2364,Simon Rhee,67
3864,Zayn Malik,734
2453,Chad Allen,232
798,Johanna Braddy,581
3560,Clotilde Mollet,3
3115,Toby Huss,342
2173,Waris Ahluwalia,110
2543,Stephanie Vogt,35
3970,Maria Dizzia,139
3579,Eddie 'Piolin' Sotelo,252
3226,Scott A. Martin,414
3398,Norah Jones,329
3152,Sergej Trifunovic,175
2487,Karen Mok,83
3590,Cheryl Tiegs,96
2492,Claire Foy,362
3647,Aitana Snchez-Gijn,130
1414,Toby Stephens,769
2923,Dul Hill,922
2286,Andrs Montiel,61
3685,Jared Gilman,545
2784,Harvey Weinstein,474
3480,Reef Ireland,52
957,Drew Waters,848
3947,Leonor Watling,161
4110,Gyton Grantley,109
2302,Craig Fairbrass,258
3522,Mishael Morgan,152
2222,Charlotte Bving,10
2699,Jesse Moss,136
1170,Woo-sung Jung,149
1564,Katrina Bowden,948
3634,Victor Rivers,228
1990,Burt Kwouk,462
2562,Emmanuelle Riva,432
336,Heather O'Rourke,887
3011,Michaela McManus,476
3153,Steven Michael Quezada,412
527,Keisha Castle-Hughes,446
1551,Katrina Kaif,3000
2943,Edwin Neal,371
451,Scout Taylor-Compton,908
2578,Earl Cameron,189
3707,Shanley Caswell,383
3540,Alessandro Preziosi,26
2235,Alex Vincent,189
3929,Tucker Albrizzi,203
1900,Lauren German,683
278,Drew Fuller,906
2884,Katherine Kelly Lang,170
3866,Jun Kunimura,5
3631,Heather Morris,892
2305,Chatchai Plengpanich,6
3376,Julie Engelbrecht,41
2311,Vince Colosimo,62
3456,Thure Lindhardt,197
3729,Ronit Elkabetz,168
2539,Steven Waddington,212
3503,Mawenn,236
2816,James Arnold Taylor,296
2845,Frederic Forrest,236
2965,David Hemmings,178
